file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\documentation\treeprops\ChildComponentSpec.java,com.facebook.samples.litho.documentation.treeprops.ChildComponentSpec,class,9,9,0,9,2,1,0,5,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,1,0,0,0,0,1,0,0,0,16,0,0
C:\Users\pedri\Documents\LABMining\repos\litho-sections-core\src\main\java\com\facebook\litho\sections\BaseLoadEventsHandler.java,com.facebook.litho.sections.BaseLoadEventsHandler,class,1,3,2,1,4,1,2,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\resources\processor\TestTag.java,com.facebook.litho.processor.integration.resources.TestTag,interface,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-intellij-plugin\src\main\java\com\facebook\litho\intellij\toolwindows\SpecTreeElementFactory.java,com.facebook.litho.intellij.toolwindows.SpecTreeElementFactory,class,10,12,2,10,13,1,0,29,45,0.0,NaN,NaN,10,10,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,91,9,0,2,0,1,13,3,3,3,3,1,0,1,0,36,0,0
C:\Users\pedri\Documents\LABMining\repos\litho-intellij-plugin\testdata\completion\SectionSpec.java,ComponentSpec,class,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\LogTreePopulator.java,com.facebook.litho.LogTreePopulator,class,8,14,6,8,14,1,0,13,10,0.0,0.0,0.0,5,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,52,11,2,7,0,0,0,1,4,1,4,1,0,0,0,76,17,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\java\com\facebook\litho\ComponentTreeEventHandlerTest.java,com.facebook.litho.ComponentTreeEventHandlerTest,class,10,10,0,10,3,1,0,20,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,49,0,0,0,0,0,3,9,19,0,18,0,0,0,0,38,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-rendercore-transitions\src\main\java\com\facebook\litho\choreographercompat\ChoreographerCompat.java,com.facebook.litho.choreographercompat.ChoreographerCompat$FrameCallback,innerclass,5,5,0,5,7,1,0,5,6,0.75,0.0,0.0,4,0,1,1,0,2,3,1,0,0,3,0,0,2,0,1,1,0,3,41,2,0,2,1,0,1,0,4,0,4,1,2,0,0,36,1024,0
C:\Users\pedri\Documents\LABMining\repos\litho-widget\src\main\java\com\facebook\litho\widget\TextInputSpec.java,com.facebook.litho.widget.TextInputSpec$EditTextWithEventHandlers$Anonymous1,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,7,-1,0
C:\Users\pedri\Documents\LABMining\repos\litho-intellij-plugin\src\main\java\com\facebook\litho\intellij\completion\SectionSpecMethodAnnotationsProvider.java,com.facebook.litho.intellij.completion.SectionSpecMethodAnnotationsProvider,class,8,9,1,8,3,2,0,7,0,0.33333334,0.0,0.0,1,0,0,0,1,0,2,0,0,0,3,3,0,0,0,3,3,0,0,16,0,1,0,0,0,1,0,3,0,3,1,0,0,0,34,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\RenderState.java,com.facebook.litho.RenderState,class,5,10,5,5,11,1,0,16,2,0.5,0.0,0.0,4,0,0,2,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,45,2,2,2,0,0,4,2,14,1,14,1,0,0,0,60,1,0
